ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==;https://github.com/freeCodeCamp/freeCodeCamp;freeCodeCamp;freeCodeCamp/freeCodeCamp;362500;32267;19295;0;TypeScript;2014-12-24T17:49:19Z;2023-03-05T10:44:01Z;16559;16714
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==;https://github.com/EbookFoundation/free-programming-books;free-programming-books;EbookFoundation/free-programming-books;269589;8246;5592;0;;2013-10-11T06:50:37Z;2023-03-04T18:21:53Z;886;911
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=;https://github.com/996icu/996.ICU;996.ICU;996icu/996.ICU;265226;1949;1063;0;;2019-03-26T07:31:14Z;2022-01-25T17:24:10Z;0;0
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==;https://github.com/jwasham/coding-interview-university;coding-interview-university;jwasham/coding-interview-university;250415;876;359;0;;2016-06-06T02:34:12Z;2023-03-01T16:30:59Z;339;383
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==;https://github.com/sindresorhus/awesome;awesome;sindresorhus/awesome;241526;1878;607;0;;2014-07-11T13:42:37Z;2023-02-18T09:59:12Z;297;320
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==;https://github.com/kamranahmedse/developer-roadmap;developer-roadmap;kamranahmedse/developer-roadmap;231861;2174;1455;1;Astro;2017-03-15T13:45:52Z;2023-03-04T23:58:23Z;758;910
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==;https://github.com/public-apis/public-apis;public-apis;public-apis/public-apis;229942;2924;1871;0;Python;2016-03-20T23:49:42Z;2022-07-19T13:39:16Z;416;444
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==;https://github.com/donnemartin/system-design-primer;system-design-primer;donnemartin/system-design-primer;213136;464;195;0;Python;2017-02-26T16:15:28Z;2022-12-11T20:06:51Z;71;244
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==;https://github.com/facebook/react;react;facebook/react;203300;13232;8842;99;JavaScript;2013-05-24T16:15:54Z;2023-03-05T18:18:54Z;11147;12079
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==;https://github.com/vuejs/vue;vue;vuejs/vue;202608;2386;1118;245;TypeScript;2013-07-29T03:24:51Z;2023-02-04T18:16:38Z;9584;9947
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=;https://github.com/codecrafters-io/build-your-own-x;build-your-own-x;codecrafters-io/build-your-own-x;192031;288;112;0;;2018-05-09T12:03:18Z;2023-02-27T19:27:50Z;377;541
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==;https://github.com/tensorflow/tensorflow;tensorflow;tensorflow/tensorflow;171802;22699;15771;185;C++;2015-11-07T01:19:20Z;2023-03-03T20:05:05Z;34730;36777
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==;https://github.com/getify/You-Dont-Know-JS;You-Dont-Know-JS;getify/You-Dont-Know-JS;165497;871;356;0;;2013-11-16T02:37:24Z;2022-10-23T13:09:44Z;825;908
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=;https://github.com/trekhleb/javascript-algorithms;javascript-algorithms;trekhleb/javascript-algorithms;164148;650;280;0;JavaScript;2018-03-24T07:47:04Z;2023-02-25T00:06:02Z;207;314
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0;https://github.com/twbs/bootstrap;bootstrap;twbs/bootstrap;162178;14357;8188;83;JavaScript;2011-07-29T21:19:00Z;2023-03-04T20:05:54Z;21543;21802
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=;https://github.com/CyC2018/CS-Notes;CS-Notes;CyC2018/CS-Notes;162134;597;375;0;;2018-02-13T14:56:24Z;2022-02-05T03:45:27Z;439;558
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==;https://github.com/vinta/awesome-python;awesome-python;vinta/awesome-python;158934;1763;530;0;Python;2014-06-27T21:00:06Z;2023-01-05T12:29:51Z;478;497
MDEwOlJlcG9zaXRvcnkyOTExMzc=;https://github.com/ohmyzsh/ohmyzsh;ohmyzsh;ohmyzsh/ohmyzsh;156056;6776;2844;0;Shell;2009-08-28T18:15:37Z;2023-03-04T08:26:05Z;4173;4389
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==;https://github.com/TheAlgorithms/Python;Python;TheAlgorithms/Python;154688;6808;2156;0;Python;2016-07-16T09:44:01Z;2023-03-02T16:51:48Z;1209;1227
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==;https://github.com/flutter/flutter;flutter;flutter/flutter;150893;41941;29857;0;Dart;2015-03-06T22:54:58Z;2023-03-05T00:59:14Z;67969;79333
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4;https://github.com/torvalds/linux;linux;torvalds/linux;147349;761;9;0;C;2011-09-04T22:48:12Z;2023-03-04T22:48:29Z;0;0
MDEwOlJlcG9zaXRvcnkxMDYyODk3;https://github.com/github/gitignore;gitignore;github/gitignore;145037;4166;1523;0;;2010-11-08T20:17:14Z;2022-12-18T19:57:19Z;0;0
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==;https://github.com/microsoft/vscode;vscode;microsoft/vscode;143265;19461;15540;92;TypeScript;2015-09-03T20:23:38Z;2023-03-05T18:21:07Z;145593;151683
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==;https://github.com/ossu/computer-science;computer-science;ossu/computer-science;135927;392;236;0;;2014-05-04T00:18:39Z;2023-02-06T02:14:33Z;585;599
MDEwOlJlcG9zaXRvcnk2NDk4NDky;https://github.com/airbnb/javascript;javascript;airbnb/javascript;131976;1409;792;0;JavaScript;2012-11-01T23:13:50Z;2023-02-07T19:17:51Z;1137;1234
MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==;https://github.com/jlevy/the-art-of-command-line;the-art-of-command-line;jlevy/the-art-of-command-line;131780;565;312;0;;2015-05-20T15:11:03Z;2022-12-29T22:43:54Z;130;232
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=;https://github.com/Snailclimb/JavaGuide;JavaGuide;Snailclimb/JavaGuide;131533;1027;776;0;Java;2018-05-07T13:27:00Z;2023-03-04T12:00:03Z;793;859
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=;https://github.com/jackfrued/Python-100-Days;Python-100-Days;jackfrued/Python-100-Days;131438;314;12;0;Python;2018-03-01T16:05:52Z;2023-02-05T16:59:39Z;102;596
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==;https://github.com/awesome-selfhosted/awesome-selfhosted;awesome-selfhosted;awesome-selfhosted/awesome-selfhosted;122636;2666;2101;0;Makefile;2015-06-01T02:33:17Z;2023-03-01T19:11:52Z;710;763
